ID,Urbanizacion,Manzana,Lote,Estado,Cuota
36-11-9,36,11,9,Vendido,"420,000"
36-11-10,36,11,10,Vendido,"360,000"
36-12-3,36,12,3,Vendido,"300,000"
36-12-4,36,12,4,Vendido,"300,000"
36-12-5,36,12,5,Vendido,"350,000"
36-12-6,36,12,6,Vendido,"300,000"
36-13-1,36,13,1,Vendido,"380,000"
36-13-2,36,13,2,Vendido,"350,000"
36-13-3,36,13,3,Vendido,"350,000"
36-13-5,36,13,5,Vendido,"350,000"
36-13-6,36,13,6,Vendido,"350,000"
36-13-7,36,13,7,Vendido,"350,000"
36-13-8,36,13,8,Vendido,"350,000"
36-13-9,36,13,9,Vendido,"350,000"
36-14-1,36,14,1,Vendido,"430,000"
36-14-3,36,14,3,Vendido,"400,000"
36-14-4,36,14,4,Vendido,"400,000"
36-14-5,36,14,5,Vendido,"400,000"
36-14-6,36,14,6,Vendido,"400,000"
36-14-7,36,14,7,Vendido,"480,000"
36-14-8,36,14,8,Vendido,"420,000"
36-14-9,36,14,9,Vendido,"400,000"
36-15-1,36,15,1,Vendido,"600,000"
36-15-2,36,15,2,Vendido,"450,000"
36-15-3,36,15,3,Vendido,"480,000"
36-15-4,36,15,4,Vendido,"600,000"
36-15-5,36,15,5,Vendido,"450,000"
36-15-6,36,15,6,Vendido,"450,000"
36-15-7,36,15,7,Vendido,"450,000"
36-15-8,36,15,8,Vendido,"450,000"
36-15-9,36,15,9,Vendido,"450,000"
36-16-1,36,16,1,Vendido,"530,000"
36-16-2,36,16,2,Vendido,"600,000"
36-16-3,36,16,3,Vendido,"500,000"
36-16-4,36,16,4,Vendido,"550,000"
36-16-6,36,16,6,Vendido,"500,000"
36-16-7,36,16,7,Vendido,"500,000"
36-16-8,36,16,8,Vendido,"600,000"
36-17-3,36,17,3,Vendido,"550,000"
36-17-4,36,17,4,Vendido,"600,000"
36-17-5,36,17,5,Vendido,"570,000"
36-17-6,36,17,6,Vendido,"550,000"
36-17-7,36,17,7,Vendido,"540,000"
36-17-8,36,17,8,Vendido,"540,000"
36-18-4,36,18,4,Vendido,"700,000"
36-18-5,36,18,5,Vendido,"700,000"
37-1-4,37,1,4,Cancelado,"700,000"
37-1-5,37,1,5,Cancelado,"700,000"
37-1-12,37,1,12,Cancelado,"600,000"
37-1-13,37,1,13,Cancelado,"650,000"
37-1-14,37,1,14,Cancelado,"650,000"
37-2-1,37,2,1,Cancelado,"750,000"
37-3-2,37,3,2,Cancelado,"2,438,000"
37-3-3,37,3,3,Cancelado,"500,000"
37-4-1,37,4,1,Cancelado,"450,000"
37-4-3,37,4,3,Cancelado,"450,000"
37-4-4,37,4,4,Cancelado,"400,000"
37-4-5,37,4,5,Cancelado,"350,000"
37-7-3,37,7,3,Cancelado,"2,166,700"
37-9-1,37,9,1,Cancelado,"350,000"
37-11-9,37,11,9,Cancelado,"350,000"
37-11-11,37,11,11,Cancelado,"1,630,000"
37-16-6,37,16,6,Cancelado,"500,000"
37-17-5,37,17,5,Cancelado,"500,000"
37-17-8,37,17,8,Cancelado,"2,980,000"
37-14-4,37,14,4,Libre (R),"340,000"
37-6-5,37,6,5,Libre,"280,000"
37-6-6,37,6,6,Libre,"280,000"
37-6-7,37,6,7,Libre,"280,000"
37-6-8,37,6,8,Libre,"280,000"
37-6-16,37,6,16,Libre,"350,000"
37-6-17,37,6,17,Libre,"350,000"
37-6-18,37,6,18,Libre,"350,000"
37-6-19,37,6,19,Libre,"350,000"
37-13-5,37,13,5,Libre,"600,000"
37-14-2,37,14,2,Libre,"300,000"
37-14-3,37,14,3,Libre,"300,000"
37-14-6,37,14,6,Libre,"300,000"
37-14-7,37,14,7,Libre,"300,000"
37-14-8,37,14,8,Libre,"300,000"
37-14-9,37,14,9,Libre,"300,000"
37-14-10,37,14,10,Libre,"300,000"
37-14-11,37,14,11,Libre,"300,000"
37-17-6,37,17,6,Libre,"550,000"
37-17-7,37,17,7,Libre,"550,000"
37-1-1,37,1,1,Vendido,"750,000"
37-1-2,37,1,2,Vendido,"750,000"
37-1-3,37,1,3,Vendido,"700,000"
37-1-6,37,1,6,Vendido,"600,000"
37-1-7,37,1,7,Vendido,"550,000"
37-1-8,37,1,8,Vendido,"550,000"
37-1-9,37,1,9,Vendido,"550,000"
37-1-10,37,1,10,Vendido,"550,000"
37-1-11,37,1,11,Vendido,"600,000"
37-2-2,37,2,2,Vendido,"800,000"
37-2-3,37,2,3,Vendido,"800,000"
